row ID;row m/z;row retention time;Formula M+H;Formula M+Na;39-1.mzXML Peak area;39-2.mzXML Peak area;39-3.mzXML Peak area;39-4.mzXML Peak area;39-5.mzXML Peak area;39-6.mzXML Peak area
164;585.4307149;24.55;C35H56N2O5 - C28H60N2O10;C32H58N4O4;39506;108080;113910;91066;74666;43761
165;409.3813604;22.61;C30H48 - C25H48N2O2;C28H50;42774;11805;8040;8097;6146;1767
166;556.311676;15.08;C34H41N3O4 - C28H45NO10 - C23H45N3O12;C32H43N3O4 - C26H47NO10;24874;3063;6590;4187;1945;1480
167;401.2317149;18.91;C25H28N4O - C24H32O5 - C19H32N2O7;C23H30N4O - C22H34O5;21435;6870;2901;1626;745;357
168;311.164121;17.86;C20H22O3 - C15H22N2O5;C18H24O3;44436;14033;5376;2841;1005;516
169;443.3875173;19.21;C30H50O2 - C25H50N2O4;C28H52O2;32773;10421;4240;3199;1319;1344
170;489.2478536;15.69;C28H32N4O4 - C22H36N2O10;C31H34N2O2 - C26H34N4O4;35148;13553;10055;4849;2574;3767
171;463.2678223;17.08;C27H34N4O3 - C26H38O7 - C21H38N2O9;C25H36N4O3 - C24H40O7;35883;7714;6275;7259;4999;2065
172;383.2204132;10.95;C24H30O4 - C19H30N2O6;C22H32O4;24118;4964;3293;1551;705;497
173;505.278417;19.11;C29H36N4O4 - C28H40O8 - C23H40N2O10;C32H38N2O2 - C27H38N4O4 - C26H42O8;36702;7670;5328;7873;3585;2166
174;429.2605947;12.81;C26H36O5 - C21H36N2O7;C25H34N4O - C24H38O5 - C19H38N2O7;29652;6870;3853;750;301;616
175;628.193868;25.23;C38H29NO8 - C33H29N3O10 - C26H33N3O15 - C20H37NO21;C36H31NO8 - C31H31N3O10 - C24H35N3O15 - C18H39NO21;24961;24720;17103;20018;21728;15404
176;463.3778839;23.5;C29H50O4 - C24H50N2O6;C27H52O4;34014;19847;18634;13162;12683;10089
177;295.2262904;15.2;C18H30O3 - C13H30N2O5;C16H32O3;31189;19486;8599;4593;2569;5277
178;295.1688588;12.16;C20H22O2 - C15H22N2O4;C18H24O2;26539;6069;2920;1318;951;117
179;437.3380356;24.94;;;26021;6440;3775;2171;1301;1337
180;313.1796799;25.9;C20H24O3 - C15H24N2O5;C18H26O3;21786;2937;2665;849;1058;298
181;417.2272631;17.52;C25H28N4O2 - C24H32O6 - C19H32N2O8;C23H30N4O2 - C22H34O6;29260;7630;2943;845;434;191
182;315.1940104;17.69;C20H26O3 - C15H26N2O5;C18H28O3;37754;10347;5757;5538;3727;1403
183;559.25147;13.31;C31H34N4O6 - C30H38O10 - C25H38N2O12;C34H36N2O4 - C29H36N4O6 - C28H40O10 - C23H40N2O12;28582;6628;3789;1152;1045;924
184;521.2737935;12.66;C29H36N4O5 - C28H40O9 - C23H40N2O11;C32H38N2O3 - C27H38N4O5 - C26H42O9;41496;10488;7958;7166;4162;1294
185;407.3667119;23.86;C30H46 - C25H46N2O2;C28H48;71286;27678;18301;18095;12090;7955
186;561.2667389;13.55;C31H36N4O6 - C30H40O10 - C25H40N2O12 - C20H40N4O14;C29H38N4O6 - C28H42O10 - C23H42N2O12;35036;7192;5344;11372;5668;1172
187;245.225165;21.29;C18H28 - C13H28N2O2;C16H30;33618;6560;3248;3088;2841;1060
188;543.2552287;14.65;;;22543;8063;4674;1125;289;673
189;447.3818944;24.79;C29H50O3 - C24H50N2O5;C27H52O3;33465;10358;7264;5026;4426;2322
190;473.2513848;13.18;C34H32O2 - C28H32N4O3 - C27H36O7 - C22H36N2O9;C26H34N4O3 - C25H38O7 - C20H38N2O9;34618;12706;11255;4320;2171;1788
191;397.2369995;18.01;C25H32O4 - C20H32N2O6;C23H34O4;27440;7770;3189;1436;839;906
192;489.2787959;22.59;;;37468;4599;3278;3616;1391;312
193;503.2616425;11.02;C29H34N4O4 - C23H38N2O10;C27H36N4O4 - C21H40N2O10;20034;5429;5453;1119;129;715
194;561.2654877;12.7;C20H40N4O14;;47174;17261;13759;10956;7924;5360
195;441.3724009;22.21;C30H48O2 - C25H48N2O4;C28H50O2;52440;20626;12968;9365;6316;3559
196;489.2444662;12.76;C22H36N2O10 - C17H36N4O12;C26H34N4O4 - C20H38N2O10;30948;10396;6442;4729;3902;1680
197;465.2827836;15.35;C27H36N4O3 - C26H40O7 - C21H40N2O9;C25H38N4O3 - C24H42O7;27016;14829;7014;3773;2549;1123
198;485.3274231;11.98;C31H40N4O - C30H44O5 - C23H48O10;C29H42N4O - C28H46O5 - C22H46N4O6;26803;0;0;0;0;0
199;291.1948954;8.65;C18H26O3 - C13H26N2O5;C16H28O3;25043;13195;13212;5082;6973;7710
200;463.2685522;11.05;C27H34N4O3 - C26H38O7 - C21H38N2O9;C25H36N4O3 - C24H40O7;26914;8590;6727;1204;566;958
201;479.2639873;14.82;C27H34N4O4 - C26H38O8 - C21H38N2O10;C25H36N4O4;28933;8516;4351;4582;3116;1057
202;473.2899119;22.54;C29H36N4O2 - C28H40O6 - C23H40N2O8;C27H38N4O2 - C26H42O6;39428;13369;6206;2418;1646;202
203;437.3399048;24.6;C25H44N2O4;;18931;2293;0;0;0;0
204;431.241305;13.4;C26H30N4O2 - C25H34O6 - C20H34N2O8;C24H32N4O2 - C23H36O6;34756;9576;5826;1506;1355;367
205;445.3669713;24.8;C29H48O3 - C24H48N2O5;C27H50O3;30380;9039;5599;5989;3607;2162
206;329.2833443;24.14;C23H36O - C18H36N2O3;C21H38O;23978;5024;3058;2797;893;1172
207;397.2368876;15.28;C26H28N4 - C25H32O4 - C20H32N2O6;C24H30N4 - C23H34O4;27249;6305;3297;2309;723;400
208;519.2572835;12.23;C35H34O4 - C29H34N4O5 - C28H38O9 - C23H38N2O11;C32H36N2O3 - C27H36N4O5 - C26H40O9 - C21H40N2O11;30496;10621;8199;1623;1990;2631
209;333.2050527;9.37;C20H28O4 - C15H28N2O6;C18H30O4;8977;1986;1344;576;670;220
210;553.3129832;17.99;C34H40N4O3 - C33H44O7 - C28H44N2O9 - C23H44N4O11;C32H42N4O3 - C31H46O7 - C26H46N2O9;17943;4134;1577;682;448;105
