row ID;row m/z;row retention time;row identity (all IDs);LN-380.mzXML Peak area;
357;461.3027038574219;11.73075;C26H40N2O5;95184.26024127219;
358;301.2171936035156;8.623233333333333;C20H28O2;109120.43333667047;
359;501.3572082519531;13.400766666666668;C26H48N2O7;86280.40198522828;
360;558.4855346679688;17.376666666666665;;111719.11688621718;
361;780.5626831054688;15.051333333333334;;85860.53480087253;
362;353.2304382324219;6.930400000000001;C20H32O5 - C15H32N2O7;116503.27610986307;
363;605.2366333007812;10.166400000000001;C34H36O10 - C29H36N2O12 - C22H40N2O17;89038.218253005;
364;931.6851196289062;13.104816666666666;;53936.9920194099;
365;395.3689880371094;12.555183333333334;C29H46;91813.4647905879;
366;576.3652954101562;15.305016666666667;C36H49NO5;55986.70022305209;
367;271.2432556152344;12.745433333333333;;97563.69024984735;
368;330.17108154296875;6.486466666666667;C19H23NO4;108772.62540063506;
369;245.13778686523438;4.161133333333334;C12H20O5;87674.02964739998;
370;316.2864685058594;7.395449999999999;C18H37NO3;161094.930561096;
371;378.23583984375;3.104133333333333;;100215.23541906728;
372;256.9574279785156;0.7787333333333333;;233680.309565796;
373;301.1426696777344;10.821716666666667;C18H20O4 - C13H20N2O6;143997.6740108949;
374;697.5279541015625;3.59035;;68671.02440364085;
375;673.3056640625;11.223383333333334;C45H40N2O4 - C38H44N2O9 - C39H44O10 - C32H48O15 - C27H48N2O17;79745.00970001229;
376;463.3200378417969;12.195816666666667;C26H42N2O5;85133.11294226098;
377;277.0908508300781;0.5640000000000001;C11H16O8 - C6H16N2O10;32139.694803222672;
378;690.4354858398438;16.446566666666666;C42H59NO7;70470.75934091119;
379;439.35833740234375;11.773016666666667;C30H46O2;115802.85347283883;
380;464.2411804199219;10.885133333333332;C28H33NO5;81384.46553626918;
381;271.1701965332031;7.437733333333333;C18H22O2;88852.05135681156;
382;285.1856689453125;7.2052000000000005;C19H24O2;101873.43872735584;
383;608.4321899414062;16.0449;C38H57NO5;76723.85746604642;
384;629.4219360351562;13.823550000000001;C36H56N2O7 - C34H60O10 - C29H60N2O12;118434.60076855408;
385;782.5775146484375;14.457733333333334;;78774.60215087797;
386;1205.7764892578125;15.0302;;50135.99537384122;
387;792.5985717773438;4.182266666666667;;87638.39439843716;
